event_name,start_ns,end_ns,total_time_ns,start_event_id,end_event_id
xrt::device::device,1137598,12506981,11369383,1,2
xrt::device::load_xclbin,12561418,22289553326,22276991908,3,4
xrt::kernel::kernel,22299544653,22300076416,531763,5,6
xrt::kernel::group_id,22300167183,22300167248,65,7,8
xrt::bo::bo,22300169652,22541465903,241296251,9,10
xrt::kernel::group_id,22541476982,22541477730,748,11,12
xrt::bo::bo,22541480482,24272468693,1730988211,13,14
xrt::kernel::group_id,24272480030,24272480783,753,15,16
xrt::bo::bo,24272483666,24404767564,132283898,17,18
xrt::kernel::group_id,24404778342,24404778971,629,19,20
xrt::bo::bo,24404781190,24425346141,20564951,21,22
xrt::kernel::group_id,24425357555,24425358320,765,23,24
xrt::bo::bo,24425360988,24557454667,132093679,25,26
xrt::kernel::group_id,24557467188,24557468248,1060,27,28
xrt::bo::bo,24557470927,24689634300,132163373,29,30
xrt::bo::size,24689656729,24689657121,392,31,32
xrt::bo::write,24689659350,24689795789,136439,33,34
xrt::bo::size,24689797329,24689797446,117,35,36
xrt::bo::write,24689798179,24690549359,751180,37,38
xrt::bo::size,24690550597,24690550624,27,39,40
xrt::bo::write,24690551346,24690560509,9163,41,42
xrt::bo::size,24690561324,24690561453,129,43,44
xrt::bo::write,24690561890,24690561948,58,45,46
xrt::bo::size,24690562495,24690562632,137,47,48
xrt::bo::write,24690563023,24690572905,9882,49,50
xrt::bo::size,24690574074,24690574102,28,51,52
xrt::bo::write,24690574462,24690583995,9533,53,54
xrt::bo::size,24690584855,24690584930,75,55,56
xrt::bo::sync,24690591453,24812861782,122270329,57,59
WRITE,24690591472,24812861782,122270310,58,60
xrt::bo::size,24812875062,24812875456,394,61,62
xrt::bo::sync,24812877990,25726413181,913535191,63,65
WRITE,24812878006,25726413181,913535175,64,66
xrt::bo::size,25726427510,25726427648,138,67,68
xrt::bo::sync,25726429993,25794881263,68451270,69,71
WRITE,25726430010,25794881263,68451253,70,72
xrt::bo::size,25794894369,25794894617,248,73,74
xrt::bo::sync,25794896800,25815248773,20351973,75,77
WRITE,25794896817,25815248773,20351956,76,78
xrt::bo::size,25815261540,25815261660,120,79,80
xrt::bo::sync,25815263962,25880346964,65083002,81,83
WRITE,25815263980,25880346964,65082984,82,84
xrt::bo::size,25880361491,25880361718,227,85,86
xrt::bo::sync,25880363751,25945873389,65509638,87,89
WRITE,25880363768,25945873389,65509621,88,90
xrt::run::run,25945899827,25945906641,6814,91,92
xrt::bo::address,25945912667,25945912730,63,93,94
xrt::bo::size,25945914376,25945914525,149,95,96
xrt::bo::address,25945916039,25945916055,16,97,98
xrt::bo::size,25945916895,25945916911,16,99,100
xrt::bo::address,25945918148,25945918164,16,101,102
xrt::bo::size,25945918710,25945918726,16,103,104
xrt::bo::address,25945919261,25945919276,15,105,106
xrt::bo::size,25945919820,25945919835,15,107,108
xrt::bo::address,25945920522,25945920537,15,109,110
xrt::bo::size,25945921213,25945921228,15,111,112
xrt::bo::address,25945921950,25945921967,17,113,114
xrt::bo::size,25945922336,25945922353,17,115,116
xrt::run::start,25945923373,25945927205,3832,117,118
xrt::run::wait,25945928526,784012883782,758066955256,119,120
xrt::bo::size,784014279298,784014279716,418,121,122
xrt::bo::sync,784014556363,784095754050,81197687,123,125
READ,784014556392,784095754050,81197658,124,126
xrt::bo::size,784096395687,784096396102,415,127,128
xrt::bo::sync,784096400743,784116831466,20430723,129,131
READ,784096400772,784116831466,20430694,130,132
xrt::bo::size,784116849249,784116850115,866,133,134
xrt::bo::read,784116855409,784116905542,50133,135,136
xrt::bo::size,784116906741,784116906778,37,137,138
xrt::bo::read,784116907599,784116907760,161,139,140
