event_name,start_ns,end_ns,total_time_ns,start_event_id,end_event_id
xrt::device::device,3645491,203559231,199913740,1,6
xrt::device::device,5784987,153553958,147768971,2,3
xrt::device::device,158348817,176349390,18000573,4,5
xrt::device::load_xclbin,203564351,7118996302,6915431951,7,16
xrt::bo::bo,7059741705,7109141090,49399385,8,9
xrt::bo::sync,7109161749,7118315021,9153272,10,12
WRITE,7109161779,7118315021,9153242,11,13
xrt::bo::address,7118421062,7118425130,4068,14,15
xrt::kernel::kernel,7119024907,7139636008,20611101,17,18
xrt::kernel::group_id,7139670965,7139671095,130,19,20
xrt::bo::bo,7139674301,7139885281,210980,21,22
xrt::kernel::group_id,7139887715,7139887796,81,23,24
xrt::bo::bo,7139889158,7141002649,1113491,25,26
xrt::kernel::group_id,7141004843,7141004953,110,27,28
xrt::bo::bo,7141006256,7141028779,22523,29,30
xrt::kernel::group_id,7141030101,7141030161,60,31,32
xrt::bo::bo,7141031424,7141045691,14267,33,34
xrt::kernel::group_id,7141046973,7141047023,50,35,36
xrt::bo::bo,7141048005,7141070017,22012,37,38
xrt::kernel::group_id,7141071159,7141071209,50,39,40
xrt::bo::bo,7141072041,7141093020,20979,41,42
xrt::bo::size,7141095485,7141095635,150,43,44
xrt::bo::write,7141097860,7141121544,23684,45,46
xrt::bo::size,7141123178,7141123228,50,47,48
xrt::bo::write,7141124390,7141270767,146377,49,50
xrt::bo::size,7141272200,7141272280,80,51,52
xrt::bo::write,7141273232,7141286968,13736,53,54
xrt::bo::size,7141287850,7141287910,60,55,56
xrt::bo::write,7141288671,7141288711,40,57,58
xrt::bo::size,7141289603,7141289633,30,59,60
xrt::bo::write,7141290435,7141301335,10900,61,62
xrt::bo::size,7141302237,7141302267,30,63,64
xrt::bo::write,7141303129,7141315061,11932,65,66
xrt::bo::size,7141316133,7141316203,70,67,68
xrt::bo::sync,7141319389,7141374073,54684,69,71
WRITE,7141319420,7141374073,54653,70,72
xrt::bo::size,7141377530,7141377580,50,73,74
xrt::bo::sync,7141378802,7141575505,196703,75,77
WRITE,7141378832,7141575505,196673,76,78
xrt::bo::size,7141577178,7141577218,40,79,80
xrt::bo::sync,7141578290,7141608668,30378,81,83
WRITE,7141578320,7141608668,30348,82,84
xrt::bo::size,7141610000,7141610040,40,85,86
xrt::bo::sync,7141611113,7141630900,19787,87,89
WRITE,7141611143,7141630900,19757,88,90
xrt::bo::size,7141632182,7141632223,41,91,92
xrt::bo::sync,7141633244,7141664634,31390,93,95
WRITE,7141633275,7141664634,31359,94,96
xrt::bo::size,7141665956,7141665997,41,97,98
xrt::bo::sync,7141666998,7141697677,30679,99,101
WRITE,7141667029,7141697677,30648,100,102
xrt::run::run,7141699871,7141743373,43502,103,104
xrt::bo::address,7141748643,7141748723,80,105,106
xrt::bo::size,7141750387,7141750427,40,107,108
xrt::bo::address,7141753292,7141753332,40,109,110
xrt::bo::size,7141754364,7141754394,30,111,112
xrt::bo::address,7141756428,7141756468,40,113,114
xrt::bo::size,7141757450,7141757490,40,115,116
xrt::bo::address,7141759414,7141759444,30,117,118
xrt::bo::size,7141760305,7141760345,40,119,120
xrt::bo::address,7141762209,7141762249,40,121,122
xrt::bo::size,7141763241,7141763271,30,123,124
xrt::bo::address,7141765054,7141765094,40,125,126
xrt::bo::size,7141765906,7141765936,30,127,128
xrt::run::start,7141767830,7141778570,10740,129,130
xrt::run::wait,7141780183,7388945466,247165283,131,437671
xrt::bo::map,7149375411,7149375882,471,132,133
xrt::bo::sync,7149385861,7149612100,226239,134,136
READ,7149385931,7149612100,226169,135,137
xrt::bo::map,7160662377,7160662628,251,1233,1237
xrt::bo::sync,7160689839,7160807983,118144,1238,1403
READ,7160689910,7160807983,118073,1239,1404
xrt::bo::map,7172612651,7172612902,251,20355,20356
xrt::bo::sync,7172623502,7172737037,113535,20361,20632
READ,7172623572,7172737037,113465,20362,20633
xrt::bo::map,7184405927,7184406138,211,45562,45584
xrt::bo::sync,7184413321,7184526406,113085,45585,45843
READ,7184413391,7184526406,113015,45586,45844
xrt::bo::map,7195839612,7195839822,210,69814,69836
xrt::bo::sync,7195867004,7196094695,227691,69838,70376
READ,7195867084,7196094695,227611,69839,70377
xrt::bo::map,7207434352,7207434562,210,94209,94226
xrt::bo::sync,7207462274,7207573435,111161,94234,94499
READ,7207462345,7207573435,111090,94235,94500
xrt::bo::map,7218896310,7218896510,200,112711,112712
xrt::bo::sync,7218903363,7219010596,107233,112713,112715
READ,7218903433,7219010596,107163,112714,112716
xrt::bo::map,7229631149,7229631400,251,119549,119566
